"VIN","FirstSeen"
"4T1H31AKXNU040808","06/29/2022"
"4T1H31AK1NU042446","06/29/2022"
"4T1H31AK6NU043382","06/29/2022"
"4T1H31AK5NU043776","06/29/2022"
"4T1H31AK2NU043895","06/29/2022"
"4T1H31AK2NU044318","06/29/2022"
"4T1H31AK9NU592607","06/29/2022"
"4T1H31AKXNU593104","06/29/2022"
"4T1H31AK9NU593241","06/29/2022"
"4T1H31AK9NU593501","06/29/2022"
"4T1H31AK5NU594063","06/29/2022"
"4T1H31AK8NU594400","06/29/2022"
"4T1H31AK6NU594945","06/29/2022"
"4T1H31AK3NU595177","06/29/2022"
"4T1H31AK6NU595237","06/29/2022"
"4T1H31AK3NU595339","06/29/2022"
"4T1H31AK8NU595353","06/29/2022"
"4T1H31AK2NU595476","06/29/2022"
"4T1H31AK4NU595639","06/29/2022"
"4T1H31AK7NU595795","06/29/2022"
"4T1H31AK5NU596038","06/29/2022"
"4T1H31AK1NU596067","06/29/2022"
"4T1H31AK0NU596092","06/29/2022"
"4T1H31AK1NU596196","06/29/2022"
"4T1H31AKXNU596200","06/29/2022"
"4T1H31AK2NU596207","06/29/2022"
"4T1H31AK4NU596452","06/29/2022"
"4T1H31AK9NU596558","06/30/2022"
