"VIN","FirstSeen"
"4T1G31AK4NU042517","06/29/2022"
"4T1G31AK2NU042614","06/29/2022"
"4T1G31AK3NU042654","06/29/2022"
"4T1G31AKXNU043056","06/29/2022"
"4T1G31AK5NU043157","06/29/2022"
"4T1G31AK9NU043176","06/29/2022"
"4T1G31AK8NU043394","06/29/2022"
"4T1G31AK0NU043437","06/29/2022"
"4T1G31AK2NU043438","06/29/2022"
"4T1G31AKXNU043445","06/29/2022"
"4T1G31AK5NU043482","06/29/2022"
"4T1G31AK0NU043485","06/29/2022"
"4T1G31AK8NU043489","06/29/2022"
"4T1G31AK1NU043494","06/29/2022"
"4T1G31AK6NU043507","06/29/2022"
"4T1G31AK5NU043529","06/29/2022"
"4T1G31AK9NU043548","06/29/2022"
"4T1G31AK1NU043558","06/29/2022"
"4T1G31AK3NU043562","06/29/2022"
"4T1G31AK0NU043566","06/29/2022"
"4T1G31AK6NU043586","06/29/2022"
"4T1G31AK9NU043615","06/29/2022"
"4T1G31AK5NU043630","06/29/2022"
"4T1G31AKXNU043638","06/29/2022"
"4T1G31AKXNU043641","06/29/2022"
"4T1G31AK4NU043666","06/29/2022"
"4T1G31AK8NU043668","06/29/2022"
"4T1G31AK6NU043670","06/29/2022"
"4T1G31AK1NU043673","06/29/2022"
"4T1G31AK1NU043690","06/29/2022"
"4T1G31AK6NU043703","06/29/2022"
"4T1G31AK5NU043708","06/29/2022"
"4T1G31AK7NU043709","06/29/2022"
"4T1G31AK2NU043732","06/29/2022"
"4T1G31AK1NU043737","06/29/2022"
"4T1G31AK1NU043740","06/29/2022"
"4T1G31AK6NU043748","06/29/2022"
"4T1G31AK1NU043754","06/29/2022"
"4T1G31AK9NU043758","06/29/2022"
"4T1G31AK0NU043762","06/29/2022"
"4T1G31AKXNU043767","06/29/2022"
"4T1G31AK7NU043788","06/29/2022"
"4T1G31AK9NU043789","06/29/2022"
"4T1G31AK8NU043797","06/29/2022"
"4T1G31AKXNU043798","06/29/2022"
"4T1G31AK1NU043799","06/29/2022"
"4T1G31AK4NU043800","06/29/2022"
"4T1G31AK3NU043805","06/29/2022"
"4T1G31AK9NU043808","06/29/2022"
"4T1G31AK0NU043809","06/29/2022"
"4T1G31AK9NU043811","06/29/2022"
"4T1G31AK0NU043812","06/29/2022"
"4T1G31AK6NU043832","06/29/2022"
"4T1G31AK2NU043844","06/29/2022"
"4T1G31AK3NU043853","06/29/2022"
"4T1G31AK4NU043862","06/29/2022"
"4T1G31AK1NU043866","06/29/2022"
"4T1G31AK7NU043869","06/29/2022"
"4T1G31AK5NU043871","06/29/2022"
"4T1G31AK0NU043874","06/29/2022"
"4T1G31AKXNU043879","06/29/2022"
"4T1G31AK6NU043880","06/29/2022"
"4T1G31AK7NU043886","06/29/2022"
"4T1G31AKXNU043929","06/29/2022"
"4T1G31AK9NU043940","06/29/2022"
"4T1G31AK5NU043949","06/29/2022"
"4T1G31AK2NU043956","06/29/2022"
"4T1G31AK4NU043960","06/29/2022"
"4T1G31AK8NU043962","06/29/2022"
"4T1G31AK7NU043967","06/29/2022"
"4T1G31AK9NU043968","06/29/2022"
"4T1G31AK7NU043970","06/29/2022"
"4T1G31AK9NU043971","06/29/2022"
"4T1G31AKXNU043977","06/29/2022"
"4T1G31AK7NU043998","06/29/2022"
"4T1G31AK5NU044003","06/29/2022"
"4T1G31AK5NU044020","06/29/2022"
"4T1G31AK0NU044023","06/29/2022"
"4T1G31AK6NU044026","06/29/2022"
"4T1G31AK8NU044027","06/29/2022"
"4T1G31AKXNU044031","06/29/2022"
"4T1G31AK3NU044033","06/29/2022"
"4T1G31AK5NU044034","06/29/2022"
"4T1G31AK7NU044035","06/29/2022"
