"VIN","FirstSeen"
"4T1S31AK0NU042413","06/29/2022"
"4T1S31AK0NU043089","06/29/2022"
"4T1S31AKXNU043648","06/29/2022"
"4T1S31AKXNU043651","06/29/2022"
"4T1S31AK4NU043693","06/29/2022"
"4T1S31AKXNU043701","06/29/2022"
"4T1S31AK3NU043717","06/29/2022"
"4T1S31AK7NU043719","06/29/2022"
"4T1S31AK3NU043720","06/29/2022"
"4T1S31AK3NU043765","06/29/2022"
"4T1S31AK7NU043770","06/29/2022"
"4T1S31AK3NU043779","06/29/2022"
"4T1S31AKXNU043827","06/29/2022"
"4T1S31AK5NU043833","06/29/2022"
"4T1S31AK7NU043834","06/29/2022"
"4T1S31AK1NU043876","06/29/2022"
"4T1S31AK8NU043891","06/29/2022"
"4T1S31AK3NU044124","06/29/2022"
"4T1S31AK9NU044337","06/29/2022"
"4T1S31AK2NU592616","06/29/2022"
"4T1S31AK1NU592722","06/29/2022"
"4T1S31AK4NU592729","06/29/2022"
"4T1S31AKXNU592735","06/29/2022"
"4T1S31AK5NU592738","06/29/2022"
"4T1S31AK5NU592741","06/29/2022"
"4T1S31AKXNU592749","06/29/2022"
"4T1S31AK1NU593921","06/29/2022"
"4T1S31AK1NU594387","06/29/2022"
"4T1S31AK9NU594394","06/29/2022"
"4T1S31AK5NU594523","06/29/2022"
"4T1S31AK3NU594956","06/29/2022"
"4T1S31AK0NU595059","06/29/2022"
"4T1S31AK9NU595061","06/29/2022"
"4T1S31AK0NU595174","06/29/2022"
"4T1S31AK7NU595320","06/29/2022"
"4T1S31AK8NU595360","06/29/2022"
"4T1S31AK5NU595378","06/29/2022"
"4T1S31AK3NU595475","06/29/2022"
"4T1S31AKXNU595490","06/29/2022"
"4T1S31AK8NU595617","06/29/2022"
"4T1S31AK6NU595664","06/29/2022"
"4T1S31AK7NU595768","06/29/2022"
"4T1S31AK9NU595772","06/29/2022"
"4T1S31AK3NU595783","06/29/2022"
"4T1S31AK9NU595903","06/29/2022"
"4T1S31AK2NU595905","06/29/2022"
"4T1S31AKXNU595909","06/29/2022"
"4T1S31AK1NU595913","06/29/2022"
"4T1S31AK3NU595914","06/29/2022"
"4T1S31AK9NU595917","06/29/2022"
"4T1S31AK0NU595921","06/29/2022"
"4T1S31AK3NU596030","06/29/2022"
"4T1S31AK1NU596043","06/29/2022"
"4T1S31AK9NU596050","06/29/2022"
"4T1S31AK8NU596069","06/29/2022"
"4T1S31AK4NU596070","06/29/2022"
"4T1S31AK8NU596072","06/29/2022"
"4T1S31AK4NU596098","06/29/2022"
"4T1S31AK8NU596170","06/29/2022"
"4T1S31AKXNU596171","06/29/2022"
"4T1S31AK0NU596177","06/29/2022"
"4T1S31AK4NU596182","06/29/2022"
"4T1S31AK1NU596186","06/29/2022"
"4T1S31AK3NU596187","06/29/2022"
"4T1S31AK7NU596189","06/29/2022"
"4T1S31AK9NU596212","06/29/2022"
"4T1S31AK1NU596298","06/29/2022"
"4T1S31AK3NU596299","06/29/2022"
"4T1S31AKXNU596302","06/29/2022"
"4T1S31AK1NU596303","06/29/2022"
"4T1S31AK5NU596319","06/29/2022"
"4T1S31AK9NU596324","06/29/2022"
"4T1S31AK4NU596330","06/29/2022"
"4T1S31AK4NU596439","06/29/2022"
"4T1S31AK2NU596469","06/29/2022"
"4T1S31AK1NU596530","06/30/2022"
