"VIN","FirstSeen"
"4T1F31AK5NU043462","06/29/2022"
"4T1F31AKXNU043523","06/29/2022"
"4T1F31AK9NU043657","06/29/2022"
"4T1F31AK2NU043662","06/29/2022"
"4T1F31AK5NU043722","06/29/2022"
"4T1F31AK3NU043783","06/29/2022"
"4T1F31AK0NU043840","06/29/2022"
"4T1F31AK5NU043901","06/29/2022"
"4T1F31AK0NU043904","06/29/2022"
"4T1F31AK4NU043937","06/29/2022"
"4T1F31AKXNU043943","06/29/2022"
"4T1F31AK3NU044089","06/29/2022"
"4T1F31AKXNU044106","06/29/2022"
"4T1F31AK9NU044176","06/29/2022"
"4T1F31AK7NU044189","06/29/2022"
"4T1F31AK2NU044200","06/29/2022"
"4T1F31AK6NU044233","06/29/2022"
"4T1F31AK2NU044424","06/29/2022"
"4T1F31AK6NU590630","06/29/2022"
"4T1F31AK3NU591105","06/29/2022"
"4T1F31AK7NU592211","06/29/2022"
"4T1F31AK4NU592537","06/29/2022"
"4T1F31AK0NU592728","06/29/2022"
"4T1F31AK2NU592732","06/29/2022"
"4T1F31AK0NU592762","06/29/2022"
"4T1F31AK4NU592814","06/29/2022"
"4T1F31AK7NU593102","06/29/2022"
"4T1F31AK1NU593337","06/29/2022"
"4T1F31AK3NU593422","06/29/2022"
"4T1F31AK9NU593487","06/29/2022"
"4T1F31AK3NU593534","06/29/2022"
"4T1F31AK9NU593876","06/29/2022"
"4T1F31AK9NU593988","06/29/2022"
"4T1F31AK7NU593990","06/29/2022"
"4T1F31AK1NU594049","06/29/2022"
"4T1F31AK8NU594050","06/29/2022"
"4T1F31AK3NU594084","06/29/2022"
"4T1F31AK1NU594102","06/29/2022"
"4T1F31AK2NU594125","06/29/2022"
"4T1F31AK3NU594134","06/29/2022"
"4T1F31AK8NU594212","06/29/2022"
"4T1F31AK5NU594216","06/29/2022"
"4T1F31AK2NU594223","06/29/2022"
"4T1F31AK0NU594253","06/29/2022"
"4T1F31AK2NU594285","06/29/2022"
"4T1F31AK7NU594296","06/29/2022"
"4T1F31AKXNU594356","06/29/2022"
"4T1F31AK2NU594397","06/29/2022"
"4T1F31AK3NU594487","06/29/2022"
"4T1F31AK3NU594490","06/29/2022"
"4T1F31AKXNU594504","06/29/2022"
"4T1F31AKXNU594549","06/29/2022"
"4T1F31AK2NU594576","06/29/2022"
"4T1F31AK8NU594632","06/29/2022"
"4T1F31AK6NU594659","06/29/2022"
"4T1F31AK5NU594667","06/29/2022"
"4T1F31AKXNU594714","06/29/2022"
"4T1F31AK2NU594724","06/29/2022"
"4T1F31AK1NU594746","06/29/2022"
"4T1F31AKXNU594776","06/29/2022"
"4T1F31AK9NU594798","06/29/2022"
"4T1F31AK6NU594810","06/29/2022"
"4T1F31AK1NU594813","06/29/2022"
"4T1F31AK3NU594828","06/29/2022"
"4T1F31AK2NU594836","06/29/2022"
"4T1F31AK6NU594838","06/29/2022"
"4T1F31AK4NU594854","06/29/2022"
"4T1F31AK6NU594872","06/29/2022"
"4T1F31AK3NU594893","06/29/2022"
"4T1F31AK7NU594928","06/29/2022"
"4T1F31AK9NU594932","06/29/2022"
"4T1F31AK6NU594936","06/29/2022"
"4T1F31AK3NU594957","06/29/2022"
"4T1F31AKXNU594969","06/29/2022"
"4T1F31AK6NU594970","06/29/2022"
"4T1F31AKXNU594972","06/29/2022"
"4T1F31AK3NU594991","06/29/2022"
"4T1F31AK1NU595007","06/29/2022"
"4T1F31AK5NU595057","06/29/2022"
"4T1F31AK6NU595066","06/29/2022"
"4T1F31AKXNU595099","06/29/2022"
"4T1F31AKXNU595121","06/29/2022"
"4T1F31AK4NU595129","06/29/2022"
"4T1F31AK7NU595139","06/29/2022"
"4T1F31AKXNU595152","06/29/2022"
"4T1F31AK0NU595161","06/29/2022"
"4T1F31AKXNU595197","06/29/2022"
"4T1F31AK9NU595210","06/29/2022"
"4T1F31AK9NU595224","06/29/2022"
"4T1F31AKXNU595233","06/29/2022"
"4T1F31AK8NU595246","06/29/2022"
"4T1F31AK1NU595296","06/29/2022"
"4T1F31AK7NU595299","06/29/2022"
"4T1F31AK5NU595317","06/29/2022"
"4T1F31AK5NU595348","06/29/2022"
"4T1F31AK6NU595357","06/29/2022"
"4T1F31AKXNU595362","06/29/2022"
"4T1F31AK7NU595366","06/29/2022"
"4T1F31AK9NU595384","06/29/2022"
"4T1F31AK4NU595390","06/29/2022"
"4T1F31AK8NU595411","06/29/2022"
"4T1F31AK0NU595418","06/29/2022"
"4T1F31AK1NU595427","06/29/2022"
"4T1F31AK4NU595437","06/29/2022"
"4T1F31AK1NU595444","06/29/2022"
"4T1F31AK7NU595447","06/29/2022"
"4T1F31AKXNU595457","06/29/2022"
"4T1F31AK3NU595459","06/29/2022"
"4T1F31AK2NU595467","06/29/2022"
"4T1F31AK8NU595473","06/29/2022"
"4T1F31AK5NU595477","06/29/2022"
"4T1F31AK8NU595487","06/29/2022"
"4T1F31AK1NU595489","06/29/2022"
"4T1F31AK2NU595520","06/29/2022"
"4T1F31AK8NU595523","06/29/2022"
"4T1F31AK1NU595542","06/29/2022"
"4T1F31AK6NU595570","06/29/2022"
"4T1F31AKXNU595586","06/29/2022"
"4T1F31AK8NU595599","06/29/2022"
"4T1F31AK8NU595604","06/29/2022"
"4T1F31AK3NU595610","06/29/2022"
"4T1F31AK8NU595621","06/29/2022"
"4T1F31AK5NU595625","06/29/2022"
"4T1F31AK5NU595642","06/29/2022"
"4T1F31AK4NU595650","06/29/2022"
"4T1F31AK7NU595657","06/29/2022"
"4T1F31AK6NU595665","06/29/2022"
"4T1F31AK3NU595669","06/29/2022"
"4T1F31AK6NU595696","06/29/2022"
"4T1F31AK6NU595701","06/29/2022"
"4T1F31AK9NU595708","06/29/2022"
"4T1F31AK3NU595722","06/29/2022"
"4T1F31AK6NU595729","06/29/2022"
"4T1F31AK6NU595732","06/29/2022"
"4T1F31AK8NU595733","06/29/2022"
"4T1F31AK4NU595745","06/29/2022"
"4T1F31AK1NU595752","06/29/2022"
"4T1F31AK2NU595758","06/29/2022"
"4T1F31AK6NU595780","06/29/2022"
"4T1F31AK8NU595781","06/29/2022"
"4T1F31AK3NU595784","06/29/2022"
"4T1F31AK2NU595792","06/29/2022"
"4T1F31AK5NU595804","06/29/2022"
"4T1F31AK1NU595816","06/29/2022"
"4T1F31AK3NU595820","06/29/2022"
"4T1F31AK6NU595844","06/29/2022"
"4T1F31AK1NU595878","06/29/2022"
"4T1F31AK7NU595898","06/29/2022"
"4T1F31AK6NU595911","06/29/2022"
"4T1F31AK0NU595922","06/29/2022"
"4T1F31AK4NU595924","06/29/2022"
"4T1F31AK3NU595929","06/29/2022"
"4T1F31AK7NU595934","06/29/2022"
"4T1F31AKXNU595944","06/29/2022"
"4T1F31AK7NU595948","06/29/2022"
"4T1F31AK7NU595951","06/29/2022"
"4T1F31AK9NU595952","06/29/2022"
"4T1F31AKXNU595961","06/29/2022"
"4T1F31AK0NU595970","06/29/2022"
"4T1F31AK6NU595973","06/29/2022"
"4T1F31AK4NU595986","06/29/2022"
"4T1F31AK0NU595998","06/29/2022"
"4T1F31AK2NU596019","06/29/2022"
"4T1F31AK8NU596025","06/29/2022"
"4T1F31AK6NU596041","06/29/2022"
"4T1F31AK1NU596058","06/29/2022"
"4T1F31AKXNU596060","06/29/2022"
"4T1F31AK4NU596068","06/29/2022"
"4T1F31AK3NU596076","06/29/2022"
"4T1F31AK1NU596089","06/29/2022"
"4T1F31AK5NU596094","06/29/2022"
"4T1F31AK2NU596103","06/29/2022"
"4T1F31AK3NU596112","06/29/2022"
"4T1F31AK9NU596115","06/29/2022"
