"VIN","FirstSeen"
"4T1F31AK7NU24A007","06/29/2022"
"4T1F31AK9NU24A008","06/29/2022"
"4T1F31AK4NU24A031","06/29/2022"
"4T1F31AK6NU24A063","06/29/2022"
"4T1F31AK6NU24A077","06/29/2022"
"4T1F31AK4NU24A093","06/29/2022"
"4T1F31AK9NU24A106","06/29/2022"
"4T1F31AK2NU24A139","06/29/2022"
"4T1F31AK7NU24A153","06/29/2022"
"4T1F31AK0NU24A155","06/29/2022"
"4T1F31AK9NU24A185","06/29/2022"
"4T1F31AK3NU24A196","06/29/2022"
"4T1F31AK3NU24A232","06/29/2022"
"4T1F31AK6NU24A239","06/29/2022"
"4T1F31AK8NU24A260","06/29/2022"
"4T1F31AK6NU24A273","06/29/2022"
"4T1F31AK6NU24A306","06/29/2022"
"4T1F31AK6NU24A337","06/29/2022"
"4T1F31AK4NU24A403","06/29/2022"
"4T1F31AK8NU24C042","06/29/2022"
"4T1F31AK1NU24C044","06/29/2022"
"4T1F31AK4NU24C054","06/29/2022"
"4T1F31AK6NU24C069","06/29/2022"
"4T1F31AK8NU24C106","06/29/2022"
"4T1F31AK1NU24C125","06/29/2022"
"4T1F31AK9NU24C129","06/29/2022"
"4T1F31AK9NU24C146","06/29/2022"
"4T1F31AK0NU24C150","06/29/2022"
"4T1F31AK7NU24C162","06/29/2022"
"4T1F31AKXNU24C172","06/29/2022"
"4T1F31AK6NU24C184","06/29/2022"
"4T1F31AK7NU24C193","06/29/2022"
"4T1F31AKXNU24C205","06/29/2022"
"4T1F31AK9NU24C213","06/29/2022"
"4T1F31AK8NU24C218","06/29/2022"
"4T1F31AK1NU24C223","06/29/2022"
"4T1F31AKXNU24C236","06/29/2022"
"4T1F31AK5NU24C239","06/29/2022"
"4T1F31AKXNU24C253","06/29/2022"
"4T1F31AK6NU24C315","06/29/2022"
"4T1F31AK3NU24C322","06/29/2022"
"4T1F31AK2NU24C344","06/29/2022"
"4T1F31AK5NU24C368","06/29/2022"
"4T1F31AK2NU24C389","06/29/2022"
"4T1F31AKXNU24C432","06/29/2022"
"4T1F31AK7NU24C453","06/29/2022"
"4T1F31AK8NU24C462","06/29/2022"
"4T1F31AK0NU24C472","06/29/2022"
"4T1F31AK6NU24C475","06/29/2022"
"4T1F31AK9NU24C485","06/29/2022"
"4T1F31AK6NU24C489","06/29/2022"
"4T1F31AKXNU24C558","06/29/2022"
"4T1F31AK1NU24C559","06/29/2022"
"4T1F31AK7NU24C565","06/29/2022"
"4T1F31AK1NU24C576","06/29/2022"
"4T1F31AK7NU24C579","06/29/2022"
"4T1F31AK3NU24C580","06/29/2022"
"4T1F31AK5NU24C600","06/29/2022"
"4T1F31AK0NU24C620","06/29/2022"
"4T1F31AK7NU24C629","06/29/2022"
"4T1F31AK8NU24C638","06/29/2022"
"4T1F31AKXNU24C656","06/29/2022"
"4T1F31AK6NU24C685","06/29/2022"
"4T1F31AK9NU24C700","06/29/2022"
"4T1F31AK4NU24C703","06/29/2022"
"4T1F31AK3NU24C711","06/29/2022"
"4T1F31AK5NU24C743","06/29/2022"
"4T1F31AK3NU24C756","06/29/2022"
"4T1F31AK1NU24E313","06/29/2022"
"4T1F31AK5NU24E377","06/29/2022"
"4T1F31AK4NU24E418","06/29/2022"
"4T1F31AKXNU24E441","06/29/2022"
"4T1F31AK8NU24E471","06/29/2022"
"4T1F31AK7NU24E493","06/29/2022"
"4T1F31AK2NU24E496","06/29/2022"
"4T1F31AK4NU24E497","06/29/2022"
"4T1F31AKXNU24E519","06/29/2022"
"4T1F31AK6NU24E520","06/29/2022"
"4T1F31AK2NU24E532","06/29/2022"
"4T1F31AK8NU24E535","06/29/2022"
"4T1F31AK5NU24E573","06/29/2022"
"4T1F31AK7NU24E574","06/29/2022"
"4T1F31AK0NU24E576","06/29/2022"
"4T1F31AK2NU24E577","06/29/2022"
"4T1F31AK2NU24E580","06/29/2022"
"4T1F31AKXNU24E584","06/29/2022"
"4T1F31AK4NU24E614","06/29/2022"
"4T1F31AKXNU24E620","06/29/2022"
"4T1F31AK4NU24E676","06/29/2022"
"4T1F31AK8NU24E695","06/29/2022"
"4T1F31AK6NU24E713","06/29/2022"
"4T1F31AK4NU24E788","06/29/2022"
"4T1F31AK5NU24E816","06/29/2022"
"4T1F31AK5NU24E864","06/29/2022"
"4T1F31AK9NU24E866","06/29/2022"
"4T1F31AK0NU24E870","06/29/2022"
"4T1F31AK6NU24E873","06/29/2022"
"4T1F31AK7NU24E879","06/29/2022"
"4T1F31AKXNU24E889","06/29/2022"
"4T1F31AK9NU24E897","06/29/2022"
"4T1F31AKXNU24E911","06/29/2022"
"4T1F31AKXNU24E925","06/29/2022"
"4T1F31AK4NU24E984","06/29/2022"
"4T1F31AK3NU24E989","06/29/2022"
"4T1F31AK7NU24E994","06/29/2022"
"4T1F31AK0NU24F016","06/29/2022"
"4T1F31AK2NU24F020","06/29/2022"
"4T1F31AK4NU24F021","06/29/2022"
"4T1F31AK8NU24F040","06/29/2022"
"4T1F31AKXNU24F072","06/29/2022"
"4T1F31AK3NU24F074","06/29/2022"
"4T1F31AK0NU24F081","06/29/2022"
"4T1F31AK6NU24F084","06/29/2022"
"4T1F31AKXNU24F122","06/29/2022"
"4T1F31AK2NU24F132","06/29/2022"
"4T1F31AK3NU24F138","06/29/2022"
"4T1F31AK8NU24F149","06/29/2022"
"4T1F31AK1NU24F154","06/29/2022"
"4T1F31AK4NU25A008","06/29/2022"
"4T1F31AK1NU25A032","06/29/2022"
"4T1F31AK5NU25A048","06/29/2022"
"4T1F31AK6NU25A057","06/29/2022"
"4T1F31AK8NU25A058","06/29/2022"
"4T1F31AK3NU25A095","06/29/2022"
"4T1F31AK7NU25A097","06/29/2022"
"4T1F31AK9NU25A103","06/29/2022"
"4T1F31AK2NU25A105","06/29/2022"
"4T1F31AK8NU25A108","06/29/2022"
"4T1F31AKXNU25A126","06/29/2022"
"4T1F31AK1NU25A130","06/29/2022"
"4T1F31AK1NU25A144","06/29/2022"
"4T1F31AK9NU25A151","06/29/2022"
"4T1F31AK0NU25A152","06/29/2022"
"4T1F31AKXNU25A157","06/29/2022"
"4T1F31AK0NU25A166","06/29/2022"
"4T1F31AK5NU25A194","06/29/2022"
"4T1F31AKXNU25A224","06/29/2022"
"4T1F31AK6NU25A236","06/29/2022"
"4T1F31AK4NU25A249","06/29/2022"
"4T1F31AK0NU25A250","06/29/2022"
"4T1F31AK9NU25A280","06/29/2022"
"4T1F31AK5NU25A308","06/29/2022"
"4T1F31AK9NU25A327","06/29/2022"
"4T1F31AK2NU25A346","06/29/2022"
"4T1F31AK6NU25A351","06/29/2022"
"4T1F31AK1NU25A368","06/29/2022"
"4T1F31AK1NU25A371","06/29/2022"
"4T1F31AK4NU25A378","06/29/2022"
"4T1F31AK6NU25A379","06/29/2022"
"4T1F31AKXNU25B955","06/29/2022"
"4T1F31AK8NU25B971","06/29/2022"
"4T1F31AK6NU25B984","06/29/2022"
"4T1F31AK9NU25B994","06/29/2022"
"4T1F31AK3NU25C025","06/29/2022"
"4T1F31AKXNU25C040","06/29/2022"
"4T1F31AK5NU25C043","06/29/2022"
"4T1F31AK2NU25C050","06/29/2022"
"4T1F31AK5NU25C057","06/29/2022"
"4T1F31AK6NU25C083","06/29/2022"
