"VIN","FirstSeen"
"4T1K31AK2NU040811","06/29/2022"
"4T1K31AK0NU041407","06/29/2022"
"4T1K31AK1NU041884","06/29/2022"
"4T1K31AK5NU042441","06/29/2022"
"4T1K31AKXNU042449","06/29/2022"
"4T1K31AK0NU042606","06/29/2022"
"4T1K31AK2NU042638","06/29/2022"
"4T1K31AK6NU042898","06/29/2022"
"4T1K31AK6NU043100","06/29/2022"
"4T1K31AK2NU043286","06/29/2022"
"4T1K31AK7NU043302","06/29/2022"
"4T1K31AK8NU043387","06/29/2022"
"4T1K31AK8NU043406","06/29/2022"
"4T1K31AK1NU043442","06/29/2022"
"4T1K31AK5NU043444","06/29/2022"
"4T1K31AK8NU043471","06/29/2022"
"4T1K31AK4NU043497","06/29/2022"
"4T1K31AK0NU043500","06/29/2022"
"4T1K31AK6NU043517","06/29/2022"
"4T1K31AKXNU043519","06/29/2022"
"4T1K31AKXNU043553","06/29/2022"
"4T1K31AKXNU043598","06/29/2022"
"4T1K31AK1NU043599","06/29/2022"
"4T1K31AK6NU043601","06/29/2022"
"4T1K31AK8NU043602","06/29/2022"
"4T1K31AK3NU043605","06/29/2022"
"4T1K31AK0NU043612","06/29/2022"
"4T1K31AKXNU043617","06/29/2022"
"4T1K31AKXNU043620","06/29/2022"
"4T1K31AK0NU043626","06/29/2022"
"4T1K31AK2NU043627","06/29/2022"
"4T1K31AK4NU043631","06/29/2022"
"4T1K31AK3NU043653","06/29/2022"
"4T1K31AK9NU043656","06/29/2022"
"4T1K31AK2NU043658","06/29/2022"
"4T1K31AK4NU043659","06/29/2022"
"4T1K31AK0NU043660","06/29/2022"
"4T1K31AK2NU043661","06/29/2022"
"4T1K31AK6NU043663","06/29/2022"
"4T1K31AKXNU043665","06/29/2022"
"4T1K31AK5NU043671","06/29/2022"
"4T1K31AK8NU043678","06/29/2022"
"4T1K31AK6NU043680","06/29/2022"
"4T1K31AK8NU043695","06/29/2022"
"4T1K31AK3NU043698","06/29/2022"
"4T1K31AK0NU043707","06/29/2022"
"4T1K31AK6NU043713","06/29/2022"
"4T1K31AK8NU043714","06/29/2022"
"4T1K31AK5NU043718","06/29/2022"
"4T1K31AK9NU043723","06/29/2022"
"4T1K31AK8NU043728","06/29/2022"
"4T1K31AK2NU043742","06/29/2022"
"4T1K31AK3NU043751","06/29/2022"
"4T1K31AK7NU043753","06/29/2022"
"4T1K31AK0NU043755","06/29/2022"
"4T1K31AK2NU043756","06/29/2022"
"4T1K31AKXNU043763","06/29/2022"
"4T1K31AK5NU043766","06/29/2022"
"4T1K31AK9NU043768","06/29/2022"
"4T1K31AK4NU043774","06/29/2022"
"4T1K31AK6NU043775","06/29/2022"
