"VIN","FirstSeen"
"4T1K31AK4NU24A013","06/29/2022"
"4T1K31AK3NU24A083","06/29/2022"
"4T1K31AK7NU24A085","06/29/2022"
"4T1K31AK6NU24A112","06/29/2022"
"4T1K31AKXNU24A114","06/29/2022"
"4T1K31AK5NU24A117","06/29/2022"
"4T1K31AK6NU24A126","06/29/2022"
"4T1K31AK6NU24A157","06/29/2022"
"4T1K31AKXNU24A159","06/29/2022"
"4T1K31AK3NU24A181","06/29/2022"
"4T1K31AK4NU24A237","06/29/2022"
"4T1K31AK9NU24A248","06/29/2022"
"4T1K31AK4NU24A254","06/29/2022"
"4T1K31AK3NU24A309","06/29/2022"
"4T1K31AKXNU24A310","06/29/2022"
"4T1K31AK2NU24A320","06/29/2022"
"4T1K31AK2NU24A396","06/29/2022"
"4T1K31AK5NU24A408","06/29/2022"
"4T1K31AKXNU24C039","06/29/2022"
"4T1K31AK0NU24C065","06/29/2022"
"4T1K31AK4NU24C070","06/29/2022"
"4T1K31AK2NU24C097","06/29/2022"
"4T1K31AK7NU24C161","06/29/2022"
"4T1K31AK9NU24C176","06/29/2022"
"4T1K31AKXNU24C185","06/29/2022"
"4T1K31AK7NU24C273","06/29/2022"
"4T1K31AK6NU24C295","06/29/2022"
"4T1K31AK8NU24C329","06/29/2022"
"4T1K31AK9NU24C548","06/29/2022"
"4T1K31AK6NU24C555","06/29/2022"
"4T1K31AK9NU24C632","06/29/2022"
"4T1K31AK8NU24C654","06/29/2022"
"4T1K31AK5NU24C661","06/29/2022"
"4T1K31AK3NU24C738","06/29/2022"
"4T1K31AK4NU24D459","06/29/2022"
"4T1K31AK9NU24D490","06/29/2022"
"4T1K31AK0NU24D491","06/29/2022"
"4T1K31AK8NU24E369","06/29/2022"
"4T1K31AKXNU24E423","06/29/2022"
"4T1K31AK9NU24E459","06/29/2022"
"4T1K31AK2NU24E464","06/29/2022"
"4T1K31AK4NU24E465","06/29/2022"
"4T1K31AK5NU24E488","06/29/2022"
"4T1K31AK3NU24E523","06/29/2022"
"4T1K31AK9NU24E557","06/29/2022"
"4T1K31AK3NU24E599","06/29/2022"
"4T1K31AK6NU24E631","06/29/2022"
"4T1K31AKXNU24E647","06/29/2022"
"4T1K31AK4NU24E661","06/29/2022"
"4T1K31AK3NU24E666","06/29/2022"
"4T1K31AK2NU24E769","06/29/2022"
"4T1K31AK9NU24E798","06/29/2022"
"4T1K31AK0NU24E804","06/29/2022"
"4T1K31AK6NU24E807","06/29/2022"
"4T1K31AK9NU24E820","06/29/2022"
"4T1K31AK0NU24E835","06/29/2022"
"4T1K31AK3NU24E845","06/29/2022"
"4T1K31AK5NU24E846","06/29/2022"
"4T1K31AK7NU24E850","06/29/2022"
"4T1K31AK2NU24E884","06/29/2022"
"4T1K31AKXNU24E910","06/29/2022"
"4T1K31AK5NU24E930","06/29/2022"
"4T1K31AK8NU24F005","06/29/2022"
"4T1K31AK7NU24F044","06/29/2022"
"4T1K31AK6NU24F052","06/29/2022"
"4T1K31AK3NU24F056","06/29/2022"
"4T1K31AK8NU24F103","06/29/2022"
"4T1K31AK5NU24F799","06/29/2022"
"4T1K31AK8NU24F800","06/29/2022"
"4T1K31AKXNU25A089","06/29/2022"
"4T1K31AK6NU25A137","06/29/2022"
"4T1K31AK3NU25A175","06/29/2022"
"4T1K31AK3NU25A211","06/29/2022"
"4T1K31AK1NU25A238","06/29/2022"
"4T1K31AK4NU25A296","06/29/2022"
"4T1K31AKXNU25B856","06/29/2022"
"4T1K31AK1NU25B857","06/29/2022"
"4T1K31AK9NU25C108","06/29/2022"
"4T1K31AK1NU25C135","06/29/2022"
"4T1K31AK7NU25C155","06/29/2022"
"4T1K31AK6NU25C180","06/29/2022"
"4T1K31AK3NU25C184","06/29/2022"
"4T1K31AK3NU25C234","06/29/2022"
"4T1K31AK8NU25C262","06/29/2022"
"4T1K31AK3NU25C282","06/29/2022"
"4T1K31AK9NU25C335","06/29/2022"
"4T1K31AK0NU25C577","06/29/2022"
"4T1K31AK3NU25C587","06/29/2022"
"4T1K31AK9NU25C593","06/29/2022"
"4T1K31AK1NU25C605","06/29/2022"
"4T1K31AK9NU25C612","06/29/2022"
"4T1K31AK8NU25C617","06/29/2022"
"4T1K31AK1NU25C636","06/29/2022"
