#TYPE System.Management.Automation.PSCustomObject
"ID","Name","Address","City","State","Zip","Link"
"02010","Precision Toyota of Tucson","700 West Wetmore Road","Tucson","AZ","85705","https://www.toyota.com/dealers/dealer/02010"
"02016","Big Two Toyota of Chandler","1250 S. Gilbert Road","Chandler","AZ","85286","https://www.toyota.com/dealers/dealer/02016"
"02021","Desert Toyota of Tucson","7150 East 22nd Street","Tucson","AZ","85710","https://www.toyota.com/dealers/dealer/02021"
"02036","Camelback Toyota","1550 East Camelback Road","Phoenix","AZ","85014","https://www.toyota.com/dealers/dealer/02036"
"02037","Alexander Toyota","889 E. 32nd Street","Yuma","AZ","85365","https://www.toyota.com/dealers/dealer/02037"
"02038","Hatch Toyota","1051 North Automall Parkway","Show Low","AZ","85901","https://www.toyota.com/dealers/dealer/02038"
"02042","AutoNation Toyota Tempe","7970 South Autoplex Loop","Tempe","AZ","85284","https://www.toyota.com/dealers/dealer/02042"
"02044","Right Toyota","7701 E Frank Lloyd Wright","Scottsdale","AZ","85260","https://www.toyota.com/dealers/dealer/02044"
"02048","Anderson Toyota","6510 Showplace Avenue","Lake Havasu City","AZ","86404","https://www.toyota.com/dealers/dealer/02048"
"02050","Avondale Toyota","10005 West Papago Frwy.","Avondale","AZ","85323","https://www.toyota.com/dealers/dealer/02050"
"02051","Earnhardt Toyota","6136 East Autoloop Avenue","Mesa","AZ","85206","https://www.toyota.com/dealers/dealer/02051"
"02052","Findlay Toyota Flagstaff","5030 East Marketplace Dr","Flagstaff","AZ","86004","https://www.toyota.com/dealers/dealer/02052"
"02053","Berge Toyota","2020 W Riverview Auto Dr","Mesa","AZ","85201","https://www.toyota.com/dealers/dealer/02053"
"02054","Toyota of Surprise","13543 N. Auto Show Avenue","Surprise","AZ","85388","https://www.toyota.com/dealers/dealer/02054"
"02055","Findlay Toyota Prescott","3200 Willow Creek Road","Prescott","AZ","86301","https://www.toyota.com/dealers/dealer/02055"
"02056","Sierra Toyota","2596 Fry Boulevard","Sierra Vista","AZ","85635","https://www.toyota.com/dealers/dealer/02056"
"02057","Bell Road Toyota","2020 West Bell Road","Phoenix","AZ","85023","https://www.toyota.com/dealers/dealer/02057"
"02058","Larry H. Miller Toyota Peoria","8633 West Bell Road","Peoria","AZ","85382","https://www.toyota.com/dealers/dealer/02058"
"03050","J. Pauley Toyota","6200 South 36th Street","Fort Smith","AR","72908","https://www.toyota.com/dealers/dealer/03050"
"03065","Gregg Orr Toyota","4709 Central Avenue","Hot Springs","AR","71913","https://www.toyota.com/dealers/dealer/03065"
"03068","Caldwell Toyota","1355 Exchange Avenue","Conway","AR","72032","https://www.toyota.com/dealers/dealer/03068"
"03072","Landers Toyota","10825 Colonel Glenn Road","Little Rock","AR","72204","https://www.toyota.com/dealers/dealer/03072"
"03074","Mark McLarty Toyota","4336 Landers Road","North Little Rock","AR","72117","https://www.toyota.com/dealers/dealer/03074"
