"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1C31AK1NU043011","False",,"True","DealerHold","Allocated","35055","12929 North Kelley Avenue","OK","Bob Howard Toyota","73131","GST","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"29971",,"50 State Emissions, Vehicle Fueling (4 Gal.), Door Sill Protectors, Frameless HomeLink<sup>?</sup> Mirror, Cargo Net, Premium Carpet Mat Set, VIP Sales Follow-Up, PDS - Pre-Delivery Services, Charging and Connectivity Kit, RESISTALL, BH Protection Package, Adjusted Market Value","https://guest.dealer.toyota.com/v-spec/4T1C31AK1NU043011/detail","https://www.toyota.com/dealers/dealer/35055"
"06/27/2022","4T1C31AK9NU043029","False",,"True","Available","Freight","20051","Copeland Toyota","Brockton","MA","2301","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Ash Fabric",,"29290","30754.5","Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions, Protection Package[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1C31AK9NU043029/detail","https://www.toyota.com/dealers/dealer/20051"
"06/27/2022","4T1C31AK2NU043048","False",,"False","DealerHold","Freight","22017","https://www.toyota.com/dealers/dealer/22017",,,,"TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"30312",,"All-Weather Floor Liner Package[installed_msrp], Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1C31AK2NU043048/detail","https://www.toyota.com/dealers/dealer/22017"
"06/27/2022","4T1C31AK3NU043107","False",,"True","Available","Allocated","03072","10825 Colonel Glenn Road","AR","Landers Toyota","72204","GST","2022","LE HYBRID SEDAN","White","Ash Fabric",,"30629",,"50 State Emissions, VIP Sales Follow-Up, PDS - Pre-Delivery Services, Vehicle Fueling (4 Gal.), Rear Lip Spoiler, Charging and Connectivity Kit, Door Sill Protectors, Frameless HomeLink<sup>?</sup> Mirror, Rear Bumper Protector, Premium Carpet Mat Set, LANDERS CAR APPEARANCE PREMIUM PKG, Lemon Law Book, Vehicle Protection Package","https://guest.dealer.toyota.com/v-spec/4T1C31AK3NU043107/detail","https://www.toyota.com/dealers/dealer/03072"
"06/27/2022","4T1C31AKXNU043122","False",,"True","DealerHold","Allocated","42138","Mike Calvert Toyota","Houston","TX","77054","GST","2022","LE HYBRID SEDAN","Blueprint","Black Fabric",,"30589",,"50 State Emissions, VIP Sales Follow-Up, PDS -with Texas State Inspection, Vehicle Fueling (4 Gal.), Rear Lip Spoiler, Charging and Connectivity Kit, Door Sill Protectors, Frameless HomeLink<sup>?</sup> Mirror, Cargo Net, Premium Carpet Mat Set, Vehicle Protection Package, Window Tint, Nitrogen, 3M Clear Bra Paint Protection, Apex Protect GPS","https://guest.dealer.toyota.com/v-spec/4T1C31AKXNU043122/detail","https://www.toyota.com/dealers/dealer/42138"
"06/27/2022","4T1C31AK7NU043160","False",,"True","Available","Allocated","03068","1355 Exchange Avenue","AR","Caldwell Toyota","72032","GST","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"30688",,"50 State Emissions, VIP Sales Follow-Up, PDS - Pre-Delivery Services, Vehicle Fueling (4 Gal.), Rear Lip Spoiler, Charging and Connectivity Kit, Door Sill Protectors, Frameless HomeLink<sup>?</sup> Mirror, Cargo Net, Rear Bumper Protector, Premium Carpet Mat Set, Vehicle Protection Package, Lemon Law Book","https://guest.dealer.toyota.com/v-spec/4T1C31AK7NU043160/detail","https://www.toyota.com/dealers/dealer/03068"
"06/27/2022","4T1C31AK6NU043246","False",,"False",,"Freight","50013","https://www.toyota.com/dealers/dealer/50013",,,,"TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"29022",,"Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1C31AK6NU043246/detail","https://www.toyota.com/dealers/dealer/50013"
"06/27/2022","4T1C31AK0NU043307","False",,"True","Available","Allocated","42344","Toyota of Cedar Park","Cedar Park","TX","78641","GST","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"29449",,"50 State Emissions, VIP Sales Follow-Up, PDS -with Texas State Inspection, Vehicle Fueling (4 Gal.), Vehicle Protection Package","https://guest.dealer.toyota.com/v-spec/4T1C31AK0NU043307/detail","https://www.toyota.com/dealers/dealer/42344"
"06/27/2022","4T1C31AK6NU043344","False",,"True","DealerHold","Ground","31112","Prestige Toyota","Kingston","NY","12401","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"30510",,"Cold Weather Package, Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Door Edge Guards[installed_msrp], Mudguards [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1C31AK6NU043344/detail","https://www.toyota.com/dealers/dealer/31112"
"06/27/2022","4T1C31AK1NU043350","False",,"False","DealerHold","Freight","11030","470 West Kathleen Avenue","ID","Parker Toyota","83815","TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"28893","28893","Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1C31AK1NU043350/detail","https://www.toyota.com/dealers/dealer/11030"
