"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1C31AK8NU24A438","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK8NU24A438/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1C31AK9NU24A450","True","2022-06-18","False","DealerHold","Allocated","04676","Freeway Toyota of Hanford","Hanford","CA","93230","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Black Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Government Program Incentive Less Fuel, Fleet Credit","https://guest.dealer.toyota.com/v-spec/4T1C31AK9NU24A450/detail","https://www.toyota.com/dealers/dealer/04676"
"06/27/2022","4T1C31AK7NU24A477","True","2022-06-18","False","DealerHold","Allocated","43019","Tony Divino Toyota","Riverdale","UT","84405","TMNA","2022","LE HYBRID SEDAN","White","Black Fabric",,"29944",,"Blind Spot Monitor (BSM) [bsm], 50 State Emissions, Government Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1C31AK7NU24A477/detail","https://www.toyota.com/dealers/dealer/43019"
"06/27/2022","4T1C31AK9NU24A478","True","2022-06-18","False","DealerHold","Allocated","29102","Holman Toyota","Mount Laurel","NJ","8054","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Ash Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK9NU24A478/detail","https://www.toyota.com/dealers/dealer/29102"
"06/27/2022","4T1C31AK6NU24A499","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Ash Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK6NU24A499/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1C31AK2NU24A502","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Ash Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK2NU24A502/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1C31AK4NU24A534","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","LE HYBRID SEDAN","White","Ash Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK4NU24A534/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1C31AK5NU24A543","True","2022-06-18","False","DealerHold","Allocated","29090","Hudson Toyota","Jersey City","NJ","7304","TMNA","2022","LE HYBRID SEDAN","Midnight Black Metallic","Black Fabric",,"29005",,"50 State Emissions, Livery Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK5NU24A543/detail","https://www.toyota.com/dealers/dealer/29090"
"06/27/2022","4T1C31AK2NU24A564","True","2022-06-18","False","DealerHold","Allocated","29102","Holman Toyota","Mount Laurel","NJ","8054","TMNA","2022","LE HYBRID SEDAN","White","Black Fabric",,"29264",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK2NU24A564/detail","https://www.toyota.com/dealers/dealer/29102"
"06/27/2022","4T1C31AK0NU24A594","True","2022-06-18","False","DealerHold","Allocated","29090","Hudson Toyota","Jersey City","NJ","7304","TMNA","2022","LE HYBRID SEDAN","Midnight Black Metallic","Black Fabric",,"29005",,"50 State Emissions, Livery Program Incentive Less Fuel, Fleet Credit, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1C31AK0NU24A594/detail","https://www.toyota.com/dealers/dealer/29090"
