"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1H31AK6NU043382","False",,"False","DealerHold","Freight","21032","Bergeron Toyota","Iron Mountain","MI","49801","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"31683",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK6NU043382/detail","https://www.toyota.com/dealers/dealer/21032"
"06/27/2022","4T1H31AKXNU043644","False",,"False",,"Freight","04237","700 Automall Drive","CA","Roseville Toyota","95661","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"31683",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AKXNU043644/detail","https://www.toyota.com/dealers/dealer/04237"
"06/27/2022","4T1H31AKXNU043725","False",,"True","DealerHold","Freight","04389","Hanlees Toyota","Davis","CA","95616","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"31579","32079","Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AKXNU043725/detail","https://www.toyota.com/dealers/dealer/04389"
"06/27/2022","4T1H31AK5NU043776","False",,"False","DealerHold","Freight","04412","Toyota 101","Redwood City","CA","94063","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"31554","31949","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, Door Edge Guard Protection","https://guest.dealer.toyota.com/v-spec/4T1H31AK5NU043776/detail","https://www.toyota.com/dealers/dealer/04412"
"06/27/2022","4T1H31AK2NU043895","False",,"False",,"Freight","04454","Magnussen's Toyota of Palo Alto","Palo Alto","CA","94306","TMNA","2022","LE HYBRID SEDAN","Ice Edge","Black Fabric",,"32080","37075","Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, Rear Bumper Appliqu? (Black) [installed_msrp], Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK2NU043895/detail","https://www.toyota.com/dealers/dealer/04454"
"06/27/2022","4T1H31AK6NU043933","False",,"False","DealerHold","Freight","34085","Kings Toyota","Cincinnati","OH","45249","TMNA","2022","LE HYBRID SEDAN","Blueprint","Macadamia Fabric",,"32580",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1H31AK6NU043933/detail","https://www.toyota.com/dealers/dealer/34085"
"06/27/2022","4T1H31AKXNU593104","False",,"True","DealerHold","Freight","20113","Toyota of Wellesley","Wellesley","MA","2481","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Ash Fabric",,"33121",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1H31AKXNU593104/detail","https://www.toyota.com/dealers/dealer/20113"
"06/27/2022","4T1H31AK9NU593241","False",,"False","DealerHold","Freight","28042","48 Farmington Rd-Route 11 West","NH","Rochester Toyota","03867","TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Black Fabric",,"33121",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1H31AK9NU593241/detail","https://www.toyota.com/dealers/dealer/28042"
"06/27/2022","4T1H31AK9NU593501","False",,"False","DealerHold","Freight","20101","Harr Toyota","Worcester","MA","1606","TMNA","2022","LE HYBRID SEDAN","White","Ash Fabric",,"33121",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1H31AK9NU593501/detail","https://www.toyota.com/dealers/dealer/20101"
"06/27/2022","4T1H31AK5NU594063","False",,"False","DealerHold","Freight","20101","Harr Toyota","Worcester","MA","1606","TMNA","2022","LE HYBRID SEDAN","White","Ash Fabric",,"33190",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1H31AK5NU594063/detail","https://www.toyota.com/dealers/dealer/20101"
