"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1H31AK5NU24A242","True","2022-06-18","False","DealerHold","Allocated","34101","Don Wood Toyota","Athens","OH","45701","TMNA","2022","LE HYBRID SEDAN","White","Macadamia Fabric",,"32975",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK5NU24A242/detail","https://www.toyota.com/dealers/dealer/34101"
"06/27/2022","4T1H31AK5NU24B701","True","2022-06-18","False",,"Allocated","18031","York Toyota","Houlton","ME","4730","TMNA","2022","LE HYBRID SEDAN","White","Ash Fabric",,"32664",,"Convenience Package, Hybrid, Cold Weather Package, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK5NU24B701/detail","https://www.toyota.com/dealers/dealer/18031"
"06/27/2022","4T1H31AK3NU24C698","True","2022-06-18","False","DealerHold","Allocated","24071","Reliable Toyota","Springfield","MO","65809","TMNA","2022","LE HYBRID SEDAN","Blueprint","Ash Fabric",,"32732",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK3NU24C698/detail","https://www.toyota.com/dealers/dealer/24071"
"06/27/2022","4T1H31AK9NU24C981","True","2022-06-18","False","DealerHold","Allocated","24074","Jay Wolfe Toyota","Kansas City","MO","64153","TMNA","2022","LE HYBRID SEDAN","Ruby Flare Pearl","Black Fabric",,"32677",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Special Color, Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK9NU24C981/detail","https://www.toyota.com/dealers/dealer/24074"
"06/27/2022","4T1H31AK3NU24D088","True","2022-06-18","True","DealerHold","Allocated","38026","Balise Toyota of Warwick","Warwick","RI","2888","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Ash Fabric",,"32992",,"Quick Charge Cable Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK3NU24D088/detail","https://www.toyota.com/dealers/dealer/38026"
"06/27/2022","4T1H31AK9NU24E083","True","2022-06-18","False","DealerHold","Allocated","28029","Toyota of Keene","East Swanzey","NH","3446","TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Ash Fabric",,"32992",,"Quick Charge Cable Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK9NU24E083/detail","https://www.toyota.com/dealers/dealer/28029"
"06/27/2022","4T1H31AK0NU24E182","True","2022-06-18","False","DealerHold","Allocated","37187","Ken Ganley Toyota","Pleasant Hills","PA","15236","TMNA","2022","LE HYBRID SEDAN","Predawn Gray Mica","Ash Fabric",,"32992",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package","https://guest.dealer.toyota.com/v-spec/4T1H31AK0NU24E182/detail","https://www.toyota.com/dealers/dealer/37187"
"06/27/2022","4T1H31AK6NU24E221","True","2022-06-18","False","DealerHold","Allocated","20101","Harr Toyota","Worcester","MA","1606","TMNA","2022","LE HYBRID SEDAN","Midnight Black Metallic","Black Fabric",,"33190",,"Quick Charge Cable Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK6NU24E221/detail","https://www.toyota.com/dealers/dealer/20101"
"06/27/2022","4T1H31AK8NU24E530","True","2022-06-18","True","DealerHold","Allocated","34126","Yark Toyota","Maumee","OH","43537","TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Black Fabric",,"32629",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK8NU24E530/detail","https://www.toyota.com/dealers/dealer/34126"
"06/27/2022","4T1H31AK8NU24E611","True","2022-06-18","False","DealerHold","Allocated","40021","Denny Menholt Toyota","Rapid City","SD","57701","TMNA","2022","LE HYBRID SEDAN","Celestial Silver Metallic","Black Fabric",,"32337",,"Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp], Door Edge Guards[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1H31AK8NU24E611/detail","https://www.toyota.com/dealers/dealer/40021"
