"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1T31AK5NU043061","False",,"False","DealerHold","Ground","04104","Toyota Sunnyvale","Sunnyvale","CA","94087","TMNA","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"31899",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, 50 State Emissions, All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK5NU043061/detail","https://www.toyota.com/dealers/dealer/04104"
"06/27/2022","4T1T31AK7NU043076","False",,"True","DealerHold","Freight","46110","1128 West Third Avenue","WA","Findlay Toyota Spokane","99201","TMNA","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"32028","32028","Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Owner's Portfolio, 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK7NU043076/detail","https://www.toyota.com/dealers/dealer/46110"
"06/27/2022","4T1T31AK8NU043085","False",,"True","DealerHold","Allocated","42338","https://www.toyota.com/dealers/dealer/42338",,,,"GST","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"33107",,"BPP, Blind Spot Monitor, Nightshade Edition, Convenience Package:, 50 State Emissions, PDS -with Texas State Inspection, Vehicle Fueling (4 Gal.), Charging and Connectivity Kit, Front Accent Lamps, Cargo Net, Premium Carpet Mat Set","https://guest.dealer.toyota.com/v-spec/4T1T31AK8NU043085/detail","https://www.toyota.com/dealers/dealer/42338"
"06/27/2022","4T1T31AK2NU043194","False",,"True","DealerHold","Freight","46110","1128 West Third Avenue","WA","Findlay Toyota Spokane","99201","TMNA","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"32028","32028","Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Owner's Portfolio, 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK2NU043194/detail","https://www.toyota.com/dealers/dealer/46110"
"06/27/2022","4T1T31AK6NU043196","False",,"True","Available","Allocated","42392","https://www.toyota.com/dealers/dealer/42392",,,,"GST","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"33804",,"Blind Spot Monitor, Nightshade Edition, Convenience Package:, 50 State Emissions, Vehicle Fueling (4 Gal.), Charging and Connectivity Kit, Front Accent Lamps, Door Sill Protectors, Cargo Net, Rear Bumper Protector, Premium Carpet Mat Set, Vehicle Protection Package, VIP Sales Follow-Up, PDS - Pre-Delivery Services","https://guest.dealer.toyota.com/v-spec/4T1T31AK6NU043196/detail","https://www.toyota.com/dealers/dealer/42392"
"06/27/2022","4T1T31AK0NU043209","False",,"False","DealerHold","Freight","11001","9101 West Fairview Avenue","ID","Peterson Toyota","83704","TMNA","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"31899",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, 50 State Emissions, All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK0NU043209/detail","https://www.toyota.com/dealers/dealer/11001"
"06/27/2022","4T1T31AK2NU043227","False",,"False","DealerHold","Freight","22055","Lake Country Toyota","Baxter","MN","56401","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"31968",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK2NU043227/detail","https://www.toyota.com/dealers/dealer/22055"
"06/27/2022","4T1T31AK7NU043269","False",,"False","DealerHold","Ground","19045","Jim Coleman Toyota","Bethesda","MD","20817","TMNA","2022","SE HYBRID NIGHTSHADE","Midnight Black Metallic","Black SofTex? [softex] Trim",,"32172",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Owner's Portfolio, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK7NU043269/detail","https://www.toyota.com/dealers/dealer/19045"
"06/27/2022","4T1T31AK9NU043287","False",,"True","Available","Allocated","42241","12102 IH-35 North","TX","Universal Toyota","78233","GST","2022","SE HYBRID NIGHTSHADE","Celestial Silver Metallic","Black SofTex? [softex] Trim",,"33506",,"Blind Spot Monitor, Nightshade Edition, Convenience Package:, 50 State Emissions, VIP Sales Follow-Up, PDS - Pre-Delivery Services, Vehicle Fueling (4 Gal.), Charging and Connectivity Kit, Front Accent Lamps, Cargo Net, Premium Carpet Mat Set, Vehicle Protection Package, MARKET ADJUSTMENT, DEALER ADDS","https://guest.dealer.toyota.com/v-spec/4T1T31AK9NU043287/detail","https://www.toyota.com/dealers/dealer/42241"
"06/27/2022","4T1T31AK8NU043328","False",,"True","DealerHold","Freight","02053","2020 W Riverview Auto Dr","AZ","Berge Toyota","85201","TMNA","2022","SE HYBRID NIGHTSHADE","Midnight Black Metallic","Black SofTex? [softex] Trim",,"31993",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK8NU043328/detail","https://www.toyota.com/dealers/dealer/02053"
