"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1T31AK5NU24B059","True","2022-06-18","True","DealerHold","Allocated","20087","Woburn Toyota","Woburn","MA","1801","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32742",,"Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK5NU24B059/detail","https://www.toyota.com/dealers/dealer/20087"
"06/27/2022","4T1T31AK1NU24B060","True","2022-06-18","True","DealerHold","Allocated","45055","Ourisman Fairfax Toyota","Fairfax","VA","22030","TMNA","2022","SE HYBRID NIGHTSHADE","Midnight Black Metallic","Black SofTex? [softex] Trim",,"32881","38522","Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Owner's Portfolio, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Ourisman VIP Package","https://guest.dealer.toyota.com/v-spec/4T1T31AK1NU24B060/detail","https://www.toyota.com/dealers/dealer/45055"
"06/27/2022","4T1T31AK5NU24B062","True","2022-06-18","False",,"Allocated","02016","1250 S. Gilbert Road","AZ","Big Two Toyota of Chandler","85286","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32692",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK5NU24B062/detail","https://www.toyota.com/dealers/dealer/02016"
"06/27/2022","4T1T31AK9NU24B064","True","2022-06-18","False","DealerHold","Allocated","45093","Umansky Toyota of Charlottesville","Charlottesville","VA","22911","TMNA","2022","SE HYBRID NIGHTSHADE","Midnight Black Metallic","Black SofTex? [softex] Trim",,"32727",,"Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Owner's Portfolio, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK9NU24B064/detail","https://www.toyota.com/dealers/dealer/45093"
"06/27/2022","4T1T31AK2NU24B066","True","2022-06-18","False",,"Allocated","19042","Brown's Toyota of Glen Burnie","Glen Burnie","MD","21061","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32727",,"Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Owner's Portfolio, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK2NU24B066/detail","https://www.toyota.com/dealers/dealer/19042"
"06/27/2022","4T1T31AK6NU24B068","True","2022-06-18","False",,"Allocated","29075","Sansone Toyota","Avenel","NJ","7001","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32886",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], Alloy Wheel Locks[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK6NU24B068/detail","https://www.toyota.com/dealers/dealer/29075"
"06/27/2022","4T1T31AK6NU24B071","True","2022-06-18","True",,"Allocated","04688","One Toyota of Oakland","Oakland","CA","94621","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32678",,"Lower Rocker Applique [installed_msrp], Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Door Edge Guards[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK6NU24B071/detail","https://www.toyota.com/dealers/dealer/04688"
"06/27/2022","4T1T31AK3NU24B075","True","2022-06-18","True","DealerHold","Allocated","13058","Ed Martin Toyota","Noblesville","IN","46060","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"33000",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards[installed_msrp], Protection Package[installed_msrp], Alloy Wheel Locks[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK3NU24B075/detail","https://www.toyota.com/dealers/dealer/13058"
"06/27/2022","4T1T31AK7NU24B077","True","2022-06-18","False","DealerHold","Allocated","24084","Joe Machens Toyota","Columbia","MO","65202","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32622",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK7NU24B077/detail","https://www.toyota.com/dealers/dealer/24084"
"06/27/2022","4T1T31AK9NU24B310","True","2022-06-18","False","DealerHold","Allocated","24071","Reliable Toyota","Springfield","MO","65809","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"32622",,"Blind Spot Monitor (BSM) [bsm], Nightshade Edition, Convenience Package, Hybrid, Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1T31AK9NU24B310/detail","https://www.toyota.com/dealers/dealer/24071"
