"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1G31AK0NU043051","False",,"False",,"Ground","04359","Moss Bros. Toyota","Moreno Valley","CA","92555","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Ash SofTex? [softex]",,"30651",,"Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK0NU043051/detail","https://www.toyota.com/dealers/dealer/04359"
"06/27/2022","4T1G31AKXNU043056","False",,"True","DealerHold","Freight","11035","2252 West Sunnyside Road","ID","Teton Toyota","83402","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"31257","31257","Nightshade Edition, Carpet Mat Package[installed_msrp], Owner's Portfolio, Door Edge Guards[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AKXNU043056/detail","https://www.toyota.com/dealers/dealer/11035"
"06/27/2022","4T1G31AK8NU043086","False",,"False","DealerHold","Ground","45023","Priority Toyota Springfield","Springfield","VA","22150","TMNA","2022","SE HYBRID NIGHTSHADE","Midnight Black Metallic","Black SofTex? [softex] Trim",,"30999","30999","Nightshade Edition, 50 State Emissions, All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK8NU043086/detail","https://www.toyota.com/dealers/dealer/45023"
"06/27/2022","4T1G31AK6NU043149","False",,"False","DealerHold","Ground","31198","West Herr Toyota of Rochester","Rochester","NY","14626","TMNA","2022","SE HYBRID NIGHTSHADE","Midnight Black Metallic","Black SofTex? [softex] Trim",,"30999",,"Nightshade Edition, 50 State Emissions, All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK6NU043149/detail","https://www.toyota.com/dealers/dealer/31198"
"06/27/2022","4T1G31AK5NU043157","False",,"True","DealerHold","Allocated","42161","Street Toyota","Amarillo","TX","79119","GST","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Ash SofTex? [softex]",,"32304",,"50 State Emissions, VIP Sales Follow-Up, PDS -with Texas State Inspection, Vehicle Fueling (4 Gal.), Charging and Connectivity Kit, Front Accent Lamps, Door Sill Protectors, Frameless HomeLink<sup>?</sup> Mirror, Cargo Net, Premium Carpet Mat Set, Vehicle Protection Package","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU043157/detail","https://www.toyota.com/dealers/dealer/42161"
"06/27/2022","4T1G31AK9NU043176","False",,"False","DealerHold","Freight","11022","1855 Flandro Drive","ID","Phil Meador Toyota","83202","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"31471",,"Nightshade Edition, Owner's Portfolio, 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], Accessory Appearance Package[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK9NU043176/detail","https://www.toyota.com/dealers/dealer/11022"
"06/27/2022","4T1G31AK4NU043229","False",,"False","Available","Ground","37056","Halterman's Toyota","East Stroudsburg","PA","18301","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"31817",,"Quick Charge Cable Package[installed_msrp], Nightshade Edition, Owner's Portfolio, Door Edge Guards[installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package [installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK4NU043229/detail","https://www.toyota.com/dealers/dealer/37056"
"06/27/2022","4T1G31AK5NU043319","False",,"True","DealerHold","Ground","37066","Ardmore Toyota","Ardmore","PA","19003","TMNA","2022","SE HYBRID NIGHTSHADE","White","Black SofTex? [softex] Trim",,"31282","31282","Nightshade Edition, Owner's Portfolio, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU043319/detail","https://www.toyota.com/dealers/dealer/37066"
"06/27/2022","4T1G31AKXNU043381","False",,"True",,"Ground","45027","Jack Taylor's Alexandria Toyota","Alexandria","VA","22305","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Ash SofTex? [softex]",,"31399",,"Cold Weather Package, 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AKXNU043381/detail","https://www.toyota.com/dealers/dealer/45027"
"06/27/2022","4T1G31AK8NU043394","False",,"True","DealerHold","Freight","04536","Norm Reeves Toyota San Diego","San Diego","CA","92120","TMNA","2022","SE HYBRID SEDAN","Supersonic Red","Black SofTex??[softex]",,"31522","38461","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Special Color, Protection Package, KARR Security System","https://guest.dealer.toyota.com/v-spec/4T1G31AK8NU043394/detail","https://www.toyota.com/dealers/dealer/04536"
