"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1G31AK1NU24A752","True","2022-06-18","True","DealerHold","Allocated","20016","Balise Toyota","West Springfield","MA","1089","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"30928",,"50 State Emissions, Mudguards [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK1NU24A752/detail","https://www.toyota.com/dealers/dealer/20016"
"06/27/2022","4T1G31AK3NU24A753","True","2022-06-18","False","DealerHold","Allocated","20117","Herb Chambers Toyota of Auburn","Auburn","MA","1501","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"31186",,"Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK3NU24A753/detail","https://www.toyota.com/dealers/dealer/20117"
"06/27/2022","4T1G31AK5NU24A754","True","2022-06-18","False","DealerHold","Allocated","28021","Bill Dube Toyota","Dover","NH","3820","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"31203",,"50 State Emissions, , All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK5NU24A754/detail","https://www.toyota.com/dealers/dealer/28021"
"06/27/2022","4T1G31AK7NU24A755","True","2022-06-18","False","DealerHold","Allocated","20144","Boch Toyota South","North Attleboro","MA","2760","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"30799",,"50 State Emissions, Carpet Mat Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK7NU24A755/detail","https://www.toyota.com/dealers/dealer/20144"
"06/27/2022","4T1G31AK9NU24A756","True","2022-06-18","True","DealerHold","Allocated","20096","Falmouth Toyota","Bourne","MA","2532","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"30799",,"50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK9NU24A756/detail","https://www.toyota.com/dealers/dealer/20096"
"06/27/2022","4T1G31AK0NU24A757","True","2022-06-18","True","DealerHold","Allocated","18037","Berlin City Toyota of Portland","Portland","ME","4103","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"31477","33477","Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK0NU24A757/detail","https://www.toyota.com/dealers/dealer/18037"
"06/27/2022","4T1G31AK2NU24A758","True","2022-06-18","False","Available","Allocated","06022","Stephen Toyota","Bristol","CT","6010","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"30998",,"Quick Charge Cable Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK2NU24A758/detail","https://www.toyota.com/dealers/dealer/06022"
"06/27/2022","4T1G31AK4NU24A759","True","2022-06-18","True","DealerHold","Allocated","20093","Atlantic Toyota","Lynn","MA","1905","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"31127",,"Quick Charge Cable Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions, Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK4NU24A759/detail","https://www.toyota.com/dealers/dealer/20093"
"06/27/2022","4T1G31AK0NU24A760","True","2022-06-18","False","DealerHold","Allocated","45091","Sheehy Toyota of Stafford","Stafford","VA","22554","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"31704",,"Quick Charge Cable Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], ","https://guest.dealer.toyota.com/v-spec/4T1G31AK0NU24A760/detail","https://www.toyota.com/dealers/dealer/45091"
"06/27/2022","4T1G31AK2NU24A761","True","2022-06-18","False","DealerHold","Allocated","37114","Conicelli Toyota","Conshohocken","PA","19428","TMNA","2022","SE HYBRID SEDAN","White","Ash SofTex? [softex]",,"31186",,"PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1G31AK2NU24A761/detail","https://www.toyota.com/dealers/dealer/37114"
