"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1S31AK2NU24A107","True","2022-06-18","True","DealerHold","Allocated","28041","https://www.toyota.com/dealers/dealer/28041",,,,"TMNA","2022","SE HYBRID SEDAN","White","Black SofTex??[softex]",,"34342",,"Convenience Package, Hybrid, Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK2NU24A107/detail","https://www.toyota.com/dealers/dealer/28041"
"06/27/2022","4T1S31AK4NU24A108","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","SE HYBRID SEDAN","Blueprint","Ash SofTex? [softex]",,"34009",,"Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Power tilt/slide moonroof, Audio Upgrade Package, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1S31AK4NU24A108/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1S31AK4NU24A142","True","2022-06-18","False","DealerHold","Allocated","29105","DCH Freehold Toyota","Freehold","NJ","7728","TMNA","2022","SE HYBRID SEDAN","Ice Edge","Black SofTex??[softex]",,"33584",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, 50 State Emissions, Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK4NU24A142/detail","https://www.toyota.com/dealers/dealer/29105"
"06/27/2022","4T1S31AK3NU24A357","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Ash SofTex? [softex]",,"34009",,"Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Power tilt/slide moonroof, Audio Upgrade Package, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1S31AK3NU24A357/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1S31AK5NU24A375","True","2022-06-18","False","DealerHold","Allocated","31105","Smithtown Toyota","Smithtown","NY","11787","TMNA","2022","SE HYBRID SEDAN","Blueprint","Black SofTex??[softex]",,"34514",,"Quick Charge Cable Package[installed_msrp], Blind Spot Monitor (BSM) [bsm], Convenience Package, Hybrid, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], Dual USB Power Port (Rear Only)[installed_msrp], , Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK5NU24A375/detail","https://www.toyota.com/dealers/dealer/31105"
"06/27/2022","4T1S31AK5NU24C160","True","2022-06-18","False","DealerHold","Allocated","12102","Arlington Toyota","Palatine","IL","60074","TMNA","2022","SE HYBRID SEDAN","Midnight Black Metallic","Ash SofTex? [softex]",,"34009",,"Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, Cold Weather Package, 50 State Emissions, Commercial Program Incentive Less Fuel, Fleet Credit, Power tilt/slide moonroof, Audio Upgrade Package, Drop Ship Indicator","https://guest.dealer.toyota.com/v-spec/4T1S31AK5NU24C160/detail","https://www.toyota.com/dealers/dealer/12102"
"06/27/2022","4T1S31AK0NU24C518","True","2022-06-18","False",,"Allocated","04118","5611 Hollister Avenue","CA","Toyota of Santa Barbara","93117","TMNA","2022","SE HYBRID SEDAN","White","Black SofTex??[softex]",,"33981",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK0NU24C518/detail","https://www.toyota.com/dealers/dealer/04118"
"06/27/2022","4T1S31AK0NU24C552","True","2022-06-18","False",,"Allocated","04285","Envision Toyota of Norwalk","Norwalk","CA","90650","TMNA","2022","SE HYBRID SEDAN","Predawn Gray Mica","Black SofTex??[softex]",,"33912",,"Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK0NU24C552/detail","https://www.toyota.com/dealers/dealer/04285"
"06/27/2022","4T1S31AK9NU24C615","True","2022-06-18","False","DealerHold","Allocated","04456","Toyota of El Cajon","El Cajon","CA","92020","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Black SofTex??[softex]",,"33783","38368","Blind Spot Monitor (BSM) [bsm], Carpet Mat Package[installed_msrp], Convenience Package, Hybrid, 50 State Emissions, Door Sill Protectors[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, Alloy Wheel Locks [installed_msrp], KAVACA Protection Package, KARR Security System, Window Tint","https://guest.dealer.toyota.com/v-spec/4T1S31AK9NU24C615/detail","https://www.toyota.com/dealers/dealer/04456"
"06/27/2022","4T1S31AK1NU24C768","True","2022-06-18","False","DealerHold","Allocated","48027","Markquart Toyota","Chippewa Falls","WI","54729","TMNA","2022","SE HYBRID SEDAN","Celestial Silver Metallic","Black SofTex??[softex]",,"34406",,"Convenience Package, Hybrid, Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Mudguards [installed_msrp], Protection Package[installed_msrp], Power tilt/slide moonroof, Audio Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1S31AK1NU24C768/detail","https://www.toyota.com/dealers/dealer/48027"
