"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1F31AK5NU043431","False",,"True","DealerHold","Ground","02051","6136 East Autoloop Avenue","AZ","Earnhardt Toyota","85206","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Macadamia Perforated Leather",,"38813","38813","Carpet Mat Package[installed_msrp], Driver Assist Package, Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AK5NU043431/detail","https://www.toyota.com/dealers/dealer/02051"
"06/27/2022","4T1F31AK5NU043462","False",,"False","DealerHold","Freight","30049","5995 Alameda Blvd. N.E.","NM","Larry H. Miller American Toyota Albuquerque","87113","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Macadamia Perforated Leather",,"35847","35847","Carpet Mat Package[installed_msrp], Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Special Color, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AK5NU043462/detail","https://www.toyota.com/dealers/dealer/30049"
"06/27/2022","4T1F31AKXNU043523","False",,"False","DealerHold","Freight","07012","Hertrich Toyota","Milford","DE","19963","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Macadamia Perforated Leather",,"39572",,"Driver Assist Package, 50 State Emissions, Door Sill Protectors[installed_msrp], Adaptive Headlights, Navigation Upgrade Package, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AKXNU043523/detail","https://www.toyota.com/dealers/dealer/07012"
"06/27/2022","4T1F31AK8NU043634","False",,"False","DealerHold","Ground","37150","Team Toyota","Langhorne","PA","19047","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Macadamia Perforated Leather",,"35847",,"Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Special Color, Power tilt/slide moonroof, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK8NU043634/detail","https://www.toyota.com/dealers/dealer/37150"
"06/27/2022","4T1F31AK9NU043657","False",,"False",,"Freight","04067","950 Thompson Street","CA","Envision Toyota of Milpitas","95035","TMNA","2022","XLE HYBRID SEDAN","Ruby Flare Pearl","Macadamia Perforated Leather",,"39244",,"Carpet Mat Package[installed_msrp], Driver Assist Package, 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof","https://guest.dealer.toyota.com/v-spec/4T1F31AK9NU043657/detail","https://www.toyota.com/dealers/dealer/04067"
"06/27/2022","4T1F31AK2NU043662","False",,"False","DealerHold","Freight","20006","Jaffarian Volvo Toyota","Haverhill","MA","1832","TMNA","2022","XLE HYBRID SEDAN","Blueprint","Macadamia Perforated Leather",,"36478",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK2NU043662/detail","https://www.toyota.com/dealers/dealer/20006"
"06/27/2022","4T1F31AK9NU043710","False",,"False","DealerHold","Ground","19076","Sheehy Toyota of Laurel","Laurel","MD","20723","TMNA","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Macadamia Perforated Leather",,"35416",,"Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Special Color, Power tilt/slide moonroof, Mudguards [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK9NU043710/detail","https://www.toyota.com/dealers/dealer/19076"
"06/27/2022","4T1F31AK5NU043722","False",,"False","DealerHold","Freight","43029","5650 South State Street","UT","Larry H. Miller Toyota Murray","84107","TMNA","2022","XLE HYBRID SEDAN","Ruby Flare Pearl","Macadamia Perforated Leather",,"39467",,"Carpet Mat Package[installed_msrp], Driver Assist Package, Rear Bumper Appliqu? (Black) [installed_msrp], 50 State Emissions, Adaptive Headlights, Navigation Upgrade Package, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK5NU043722/detail","https://www.toyota.com/dealers/dealer/43029"
"06/27/2022","4T1F31AK3NU043783","False",,"False","DealerHold","Freight","45092","Sheehy Toyota of Fredericksburg","Fredericksburg","VA","22408","TMNA","2022","XLE HYBRID SEDAN","Ruby Flare Pearl","Macadamia Perforated Leather",,"37831",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1F31AK3NU043783/detail","https://www.toyota.com/dealers/dealer/45092"
"06/27/2022","4T1F31AK7NU043835","False",,"True","DealerHold","Allocated","35052","Janzen Toyota","Stillwater","OK","74074","GST","2022","XLE HYBRID SEDAN","Wind Chill Pearl","Macadamia Perforated Leather",,"40060",,"Cold Weather Package, Driver Assist Package, 50 State Emissions, Adaptive Headlights, Navigation Package, Special Color, Power Tilt/Slide Moonroof, Premium Carpet Mat Set, Connectivity Kit, Cargo Net, Mud Guards, Rear Bumper Protector, Rear Lip Spoiler, Vehicle Fueling (4 Gal.), PDS - Pre-Delivery Services","https://guest.dealer.toyota.com/v-spec/4T1F31AK7NU043835/detail","https://www.toyota.com/dealers/dealer/35052"
