"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1K31AK5NU043038","False",,"True","DealerHold","Freight","04250","Carson Toyota","Carson","CA","90745","TMNA","2022","XSE HYBRID SEDAN","Celestial Silver Metallic with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"37816",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Navigation Upgrade Package, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK5NU043038/detail","https://www.toyota.com/dealers/dealer/04250"
"06/27/2022","4T1K31AK2NU043062","False",,"False","DealerHold","Freight","04284","Claremont Toyota","Claremont","CA","91711","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"35401",,"Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], Special Color, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK2NU043062/detail","https://www.toyota.com/dealers/dealer/04284"
"06/27/2022","4T1K31AK6NU043100","False",,"False","DealerHold","Freight","20150","700 Old Union Turnpike","MA","Koch Route 2 Toyota","01523","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"38361","38361","Carpet Mat Package[installed_msrp], Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK6NU043100/detail","https://www.toyota.com/dealers/dealer/20150"
"06/27/2022","4T1K31AK3NU043278","False",,"False","DealerHold","Ground","04508","Manhattan Beach Toyota","Manhattan Beach","CA","90266","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"38478",,"Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Hideaway Cargo Net[installed_msrp], Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK3NU043278/detail","https://www.toyota.com/dealers/dealer/04508"
"06/27/2022","4T1K31AK2NU043286","False",,"False","DealerHold","Ground","04228","Simi Valley Toyota","Simi Valley","CA","93065","TMNA","2022","XSE HYBRID SEDAN","Celestial Silver Metallic with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"37065",,"50 State Emissions, Navigation Upgrade Package, Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color]","https://guest.dealer.toyota.com/v-spec/4T1K31AK2NU043286/detail","https://www.toyota.com/dealers/dealer/04228"
"06/27/2022","4T1K31AK7NU043302","False",,"False","DealerHold","Freight","04232","Toyota San Luis Obispo","San Luis Obispo","CA","93405","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"35402","39402","Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Special Color, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK7NU043302/detail","https://www.toyota.com/dealers/dealer/04232"
"06/27/2022","4T1K31AK4NU043371","False",,"False","DealerHold","Freight","20126","Herb Chambers Toyota of Boston","Boston","MA","2134","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"35621",,"Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Special Color, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Emergency Assistance Kit[installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK4NU043371/detail","https://www.toyota.com/dealers/dealer/20126"
"06/27/2022","4T1K31AK8NU043387","False",,"False","DealerHold","Freight","27021","AutoNation Toyota Las Vegas","Las Vegas","NV","89146","TMNA","2022","XSE HYBRID SEDAN","Supersonic Red","Black Perforated Leather",,"37424",,"Carpet Mat Package[installed_msrp], Cold Weather Package, PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, First Aid Kit w/ PPE[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK8NU043387/detail","https://www.toyota.com/dealers/dealer/27021"
"06/27/2022","4T1K31AK3NU043393","False",,"True","DealerHold","Freight","04273","Bill Wright Toyota","Bakersfield","CA","93313","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"35402",,"Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Special Color, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK3NU043393/detail","https://www.toyota.com/dealers/dealer/04273"
"06/27/2022","4T1K31AK8NU043406","False",,"True","DealerHold","Freight","04748","DCH Toyota of Torrance","Torrance","CA","90505","TMNA","2022","XSE HYBRID SEDAN","Celestial Silver Metallic with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"37846",,"Carpet Mat Package[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Illuminated Door Sills [installed_msrp], Mudguards [installed_msrp], Navigation Upgrade Package, Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK8NU043406/detail","https://www.toyota.com/dealers/dealer/04748"
