"DateScraped","VIN","isTempVin","TempBuildWeek","isPresold","holdStatus","dealerCategory","dealerCd","DealerName","DealerCity","DealerState","DealerZip","distributorCd","year","bodyStyleDesc","extColor","intColor","PriceInvoice","PriceTotalMSRP","PriceAdvertised","Options","CarLink","DealerLink"
"06/27/2022","4T1K31AK4NU24A013","True","2022-06-18","False",,"Allocated","04232","Toyota San Luis Obispo","San Luis Obispo","CA","93405","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"35827","39827","Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Special Color, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color]","https://guest.dealer.toyota.com/v-spec/4T1K31AK4NU24A013/detail","https://www.toyota.com/dealers/dealer/04232"
"06/27/2022","4T1K31AK7NU24A068","True","2022-06-18","False","DealerHold","Allocated","04388","Toyota of Riverside","Riverside","CA","92504","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"38378",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Navigation Upgrade Package, Special Color, Dual USB Power Port (Rear Only)[installed_msrp], Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color]","https://guest.dealer.toyota.com/v-spec/4T1K31AK7NU24A068/detail","https://www.toyota.com/dealers/dealer/04388"
"06/27/2022","4T1K31AK7NU24A071","True","2022-06-18","False",,"Allocated","04244","19550 Nordhoff Street","CA","Northridge Toyota","91324","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"38403",,"Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color], Trunk LED Light Bulb[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK7NU24A071/detail","https://www.toyota.com/dealers/dealer/04244"
"06/27/2022","4T1K31AK3NU24A083","True","2022-06-18","False","DealerHold","Allocated","21113","Wolverine Toyota","Dundee","MI","48131","TMNA","2022","XSE HYBRID SEDAN","Midnight Black Metallic","Cockpit Red Perforated Leather",,"38570",,"Cold Weather Package, Driver Assist Package, Door Edge Guards[installed_msrp], Rear Bumper Appliqu? (Black)[installed_msrp], 50 State Emissions, Door Sill Protectors[installed_msrp], Mudguards [installed_msrp], Navigation Upgrade Package, All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK3NU24A083/detail","https://www.toyota.com/dealers/dealer/21113"
"06/27/2022","4T1K31AK7NU24A085","True","2022-06-18","False","DealerHold","Allocated","12088","K.C. Summers Toyota","Mattoon","IL","61938","TMNA","2022","XSE HYBRID SEDAN","Ice Edge","Cockpit Red Perforated Leather",,"37946",,"Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Navigation Upgrade Package, Protection Package[installed_msrp], Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK7NU24A085/detail","https://www.toyota.com/dealers/dealer/12088"
"06/27/2022","4T1K31AK0NU24A090","True","2022-06-18","False",,"Allocated","04137","South Coast Toyota","Costa Mesa","CA","92627","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"38249",,"Carpet Mat Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, 50 State Emissions, Navigation Upgrade Package, Special Color, Power tilt/slide moonroof, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color]","https://guest.dealer.toyota.com/v-spec/4T1K31AK0NU24A090/detail","https://www.toyota.com/dealers/dealer/04137"
"06/27/2022","4T1K31AKXNU24A100","True","2022-06-18","False","DealerHold","Allocated","04143","City Toyota","Daly City","CA","94014","TMNA","2022","XSE HYBRID SEDAN","Celestial Silver Metallic with two-tone Midnight Black Metallic roof","Black Perforated Leather",,"35204",,"Carpet Mat Package[installed_msrp], 50 State Emissions, Two-tone exterior color (color-keyed body with black roof) [extra_cost_color]","https://guest.dealer.toyota.com/v-spec/4T1K31AKXNU24A100/detail","https://www.toyota.com/dealers/dealer/04143"
"06/27/2022","4T1K31AK6NU24A112","True","2022-06-18","False",,"Allocated","31139","Riverhead Toyota","Riverhead","NY","11901","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl","Cockpit Red Perforated Leather",,"38673","44673","Carpet Mat Package[installed_msrp], Cold Weather Package, Driver Assist Package, 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color, Alloy Wheel Locks [installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK6NU24A112/detail","https://www.toyota.com/dealers/dealer/31139"
"06/27/2022","4T1K31AKXNU24A114","True","2022-06-18","False","DealerHold","Allocated","12082","Orland Toyota","Tinley Park","IL","60487","TMNA","2022","XSE HYBRID SEDAN","Midnight Black Metallic","Black Perforated Leather",,"38346",,"Cold Weather Package, 50 State Emissions, Navigation Upgrade Package, Protection Package[installed_msrp], Power tilt/slide moonroof, Alloy Wheel Locks [installed_msrp], Trunk LED Light Bulb[installed_msrp], All-Weather Floor Liner Package[installed_msrp], PREFERRED OWNER'S PORTFOLIO, Dual USB Power Port (Rear Only)[installed_msrp], Integrated Dashcam[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AKXNU24A114/detail","https://www.toyota.com/dealers/dealer/12082"
"06/27/2022","4T1K31AK5NU24A117","True","2022-06-18","False","DealerHold","Allocated","12111","Crown Toyota","Decatur","IL","62526","TMNA","2022","XSE HYBRID SEDAN","Predawn Gray Mica","Black Perforated Leather",,"35455",,"Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Protection Package[installed_msrp], Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK5NU24A117/detail","https://www.toyota.com/dealers/dealer/12111"
"06/27/2022","4T1K31AK6NU24A126","True","2022-06-18","False","Available","Allocated","19026","Koons Toyota","Annapolis","MD","21401","TMNA","2022","XSE HYBRID SEDAN","Wind Chill Pearl","Black Perforated Leather",,"38797",,"Quick Charge Cable Package[installed_msrp], Carpet Mat Package[installed_msrp], Cold Weather Package, Driver Assist Package, PREFERRED OWNER'S PORTFOLIO, Door Edge Guards[installed_msrp], 50 State Emissions, Mudguards [installed_msrp], Navigation Upgrade Package, Special Color","https://guest.dealer.toyota.com/v-spec/4T1K31AK6NU24A126/detail","https://www.toyota.com/dealers/dealer/19026"
"06/27/2022","4T1K31AK1NU24A132","True","2022-06-18","False",,"Allocated","12126","Dan Hecht Chevrolet/Toyota","Effingham","IL","62401","TMNA","2022","XSE HYBRID SEDAN","Ice Edge","Cockpit Red Perforated Leather",,"35326",,"Cold Weather Package, Door Edge Guards[installed_msrp], 50 State Emissions, Protection Package[installed_msrp], Alloy Wheel Locks [installed_msrp], All-Weather Floor Liner Package[installed_msrp]","https://guest.dealer.toyota.com/v-spec/4T1K31AK1NU24A132/detail","https://www.toyota.com/dealers/dealer/12126"
